nppes_provider_city,counts,nppes_provider_zip5,total_claim_count,brand_claim_count,generic_claim_count,brand_drug_cost,generic_drug_cost,total_drug_cost,total_30_day_fill_count,total_day_supply,bene_count,brand_percent_spending,Index
MALAD CITY,8,666016.0,14700,14.0,12459.0,1102.67,261812.62,894412.62,23601.0,658694,1121.0,0.00419401245169119,0
KRONENWETTER,3,163365.0,6051,17.0,5169.0,620.55,114714.12,302153.76,7547.0,185789,649.0,0.00538042897248503,1
ASPERMONT,6,477012.0,8551,20.0,7188.0,1226.74,158571.1,348088.74,10712.1,288816,777.0,0.007676824667967977,2
BALCH SPRINGS,6,451060.0,688,11.0,480.0,124.9,10740.880000000001,27436.83,1002.7,23465,225.0,0.011494802950179371,3
WOOD VILLAGE,2,194120.0,3495,19.0,3247.0,1796.02,146818.11,335444.02,3518.6,85310,123.0,0.012085122726890104,4
ORANGE BEACH,6,219366.0,5131,21.0,4542.0,1548.63,88266.61,155662.84,6983.6,167474,708.0,0.017242396724653858,5
PRESHO,2,115136.0,1253,11.0,1088.0,505.14,26932.27,76026.01000000001,2295.6,63656,133.0,0.01841062986630298,6
HOLLADAY,20,1682367.0,13264,23.0,10903.0,4877.070000000001,239446.76000000004,558987.97,14380.299999999997,285179,1612.0,0.019961499457502772,7
GUALALA,8,763560.0,6109,43.0,5045.0,2144.84,101190.93000000001,346089.2900000001,11045.5,299281,998.0,0.020756026688531957,8
NEWTONVILLE,11,26762.0,2515,21.0,2074.0,1873.35,86329.39,167592.83,4630.7,130740,262.0,0.021239136108470096,9
ROSHARON,4,310332.0,3772,13.0,3091.0,894.1,37329.09,194317.66999999998,3799.8,92894,348.0,0.023391558893959403,10
LUZERNE,5,93545.0,1432,21.0,1137.0,2011.87,71606.66,372491.65,1662.1000000000001,45220,380.0,0.02732830986981131,11
WEST STOCKBRIDGE,4,5064.0,4667,12.0,4118.0,3383.55,108649.33,271867.99,4921.9,139499,282.0,0.03020140158853365,12
